                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    156,                0.77672,                0.79234,                0.83668,                0.94084,                0.97989,                0.98972,                0.82187,                 0.6687,                 0.4241,                0.83296,             0.00015524,             0.00015524,             0.00015524
                    157,                0.74793,                0.68481,                0.87431,                0.93679,                0.97461,                0.98889,                0.82233,                0.66819,                0.43366,                0.83294,             0.00015194,             0.00015194,             0.00015194
                    158,                 0.7818,                0.80653,                0.85541,                0.94453,                0.96127,                0.98903,                 0.8324,                 0.6685,                0.43755,                0.83333,             0.00014864,             0.00014864,             0.00014864
                    159,                0.74132,                0.72867,                0.85726,                0.94528,                0.95999,                0.98903,                 0.8264,                0.66379,                0.43851,                0.83288,             0.00014534,             0.00014534,             0.00014534
                    160,                0.79299,                 0.7731,                0.87165,                0.92885,                0.97753,                0.98945,                0.82993,                0.66498,                 0.4325,                0.83257,             0.00014204,             0.00014204,             0.00014204
                    161,                0.73292,                0.72531,                0.84508,                0.91111,                0.97761,                0.99097,                0.82619,                0.66538,                0.42525,                0.83272,             0.00013874,             0.00013874,             0.00013874
                    162,                0.71459,                0.63977,                 0.8292,                0.89161,                0.97975,                0.99097,                0.82714,                0.66484,                0.42381,                0.83212,             0.00013543,             0.00013543,             0.00013543
                    163,                0.77461,                0.76379,                 0.8626,                0.87004,                0.97953,                0.99097,                0.82831,                0.65945,                 0.4215,                 0.8315,             0.00013213,             0.00013213,             0.00013213
                    164,                0.70273,                 0.7166,                0.82774,                0.85835,                  0.987,                0.99188,                0.84843,                0.66013,                0.42222,                 0.8327,             0.00012883,             0.00012883,             0.00012883
                    165,                 0.7558,                0.71165,                0.83461,                0.86838,                0.98098,                0.99188,                0.84647,                0.66521,                0.42615,                0.83452,             0.00012553,             0.00012553,             0.00012553
                    166,                0.76352,                0.73582,                0.86189,                0.87234,                0.98436,                0.99273,                0.84724,                0.66604,                0.42809,                0.83503,             0.00012223,             0.00012223,             0.00012223
                    167,                 0.7334,                0.66418,                0.81293,                0.87799,                0.97977,                0.99315,                0.84878,                 0.6664,                0.42608,                0.83454,             0.00011893,             0.00011893,             0.00011893
                    168,                0.73592,                0.67711,                0.83646,                0.88816,                0.97278,                0.99273,                0.84339,                 0.6596,                0.42764,                0.83375,             0.00011562,             0.00011562,             0.00011562
                    169,                0.73782,                0.65674,                0.87306,                0.85341,                 0.9899,                0.97676,                0.84324,                0.65609,                0.42063,                0.83272,             0.00011232,             0.00011232,             0.00011232
                    170,                0.70816,                0.64217,                0.83225,                0.87005,                 0.9899,                0.97633,                0.83249,                 0.6501,                0.42075,                0.83208,             0.00010902,             0.00010902,             0.00010902
                    171,                0.69381,                0.63871,                0.84128,                0.88066,                 0.9899,                0.97676,                 0.8341,                0.64772,                0.42196,                0.83201,             0.00010572,             0.00010572,             0.00010572
                    172,                0.73365,                0.64645,                0.82617,                0.92343,                0.94444,                0.97676,                0.82672,                0.64981,                0.41984,                0.83205,             0.00010242,             0.00010242,             0.00010242
                    173,                0.69036,                0.66352,                0.84595,                0.93552,                0.94444,                0.97633,                 0.8269,                0.64924,                0.41953,                0.83184,             9.9116e-05,             9.9116e-05,             9.9116e-05
                    174,                0.65774,                0.63163,                0.83794,                0.94159,                0.94042,                0.97591,                 0.8229,                0.64725,                0.41318,                0.83119,             9.5815e-05,             9.5815e-05,             9.5815e-05
                    175,                0.70432,                0.66756,                0.84322,                0.93179,                0.97908,                 0.9923,                0.83544,                0.64367,                0.41125,                0.83058,             9.2513e-05,             9.2513e-05,             9.2513e-05
                    176,                0.68502,                0.66351,                0.87102,                0.93501,                0.97825,                 0.9923,                 0.8377,                0.64495,                0.40552,                0.82982,             8.9211e-05,             8.9211e-05,             8.9211e-05
                    177,                0.73409,                 0.6819,                0.83515,                0.93715,                 0.9774,                0.99315,                0.84167,                0.64672,                 0.4004,                0.82987,              8.591e-05,              8.591e-05,              8.591e-05
                    178,                 0.7286,                0.65714,                0.87177,                0.93707,                0.97692,                0.99315,                 0.8364,                0.64985,                0.39891,                0.83043,             8.2608e-05,             8.2608e-05,             8.2608e-05
                    179,                0.74306,                0.67706,                0.82632,                0.93794,                0.97699,                0.99315,                0.84235,                0.64946,                 0.3981,                0.83089,             7.9306e-05,             7.9306e-05,             7.9306e-05
                    180,                 0.7038,                0.66866,                0.84981,                0.94152,                 0.9824,                0.99315,                0.84952,                0.64853,                0.39995,                0.83084,             7.6005e-05,             7.6005e-05,             7.6005e-05
                    181,                0.72815,                0.67438,                0.83971,                0.93355,                 0.9899,                0.99315,                0.84826,                0.64827,                0.40231,                0.83056,             7.2703e-05,             7.2703e-05,             7.2703e-05
                    182,                0.73577,                0.68796,                 0.8323,                0.93396,                 0.9899,                0.99358,                0.84194,                0.64729,                0.40612,                0.83069,             6.9401e-05,             6.9401e-05,             6.9401e-05
                    183,                0.74906,                0.68878,                0.82724,                0.93166,                 0.9899,                0.99358,                0.83904,                0.64846,                 0.4076,                0.83092,               6.61e-05,               6.61e-05,               6.61e-05
                    184,                0.65858,                0.68047,                 0.8287,                 0.9277,                 0.9899,                0.99315,                0.83085,                0.65195,                0.40453,                0.83074,             6.2798e-05,             6.2798e-05,             6.2798e-05
                    185,                 0.6973,                0.69967,                0.85711,                0.93125,                0.99587,                0.99415,                0.83212,                0.65205,                0.39977,                0.83074,             5.9496e-05,             5.9496e-05,             5.9496e-05
                    186,                0.68958,                0.68222,                0.86392,                0.92775,                0.99638,                0.99415,                0.83061,                0.65105,                0.39542,                0.83057,             5.6195e-05,             5.6195e-05,             5.6195e-05
                    187,                0.69864,                0.68018,                0.84708,                0.92638,                0.99682,                0.99415,                0.84465,                0.64543,                0.39235,                0.82959,             5.2893e-05,             5.2893e-05,             5.2893e-05
                    188,                0.77067,                0.67707,                0.84752,                0.92543,                0.99721,                0.99415,                0.85228,                0.63705,                0.38974,                0.82877,             4.9591e-05,             4.9591e-05,             4.9591e-05
                    189,                0.71786,                0.66844,                0.84334,                0.92454,                0.99764,                0.99415,                0.84871,                0.63423,                0.38872,                0.82811,              4.629e-05,              4.629e-05,              4.629e-05
                    190,                0.66017,                0.68485,                0.83422,                0.92886,                0.99753,                0.99373,                 0.8458,                0.63155,                0.38579,                0.82767,             4.2988e-05,             4.2988e-05,             4.2988e-05
                    191,                0.71311,                0.81327,                0.84834,                0.93507,                0.99717,                0.99373,                0.85159,                0.62867,                0.38877,                0.82752,             3.9687e-05,             3.9687e-05,             3.9687e-05
                    192,                0.69172,                0.74986,                0.87818,                0.93957,                0.99686,                 0.9933,                0.85662,                0.62767,                0.39277,                0.82752,             3.6385e-05,             3.6385e-05,             3.6385e-05
                    193,                 0.6977,                0.74581,                0.85125,                0.94391,                 0.9963,                 0.9933,                0.85335,                0.62741,                0.39651,                0.82765,             3.3083e-05,             3.3083e-05,             3.3083e-05
                    194,                0.72417,                0.75919,                0.86009,                0.94701,                0.99579,                 0.9933,                0.85558,                0.62553,                0.40303,                0.82797,             2.9782e-05,             2.9782e-05,             2.9782e-05
                    195,                 0.7178,                 0.7362,                0.82858,                0.94774,                0.99556,                 0.9933,                0.85872,                0.62589,                0.41216,                0.82806,              2.648e-05,              2.648e-05,              2.648e-05
                    196,                0.65881,                0.77537,                0.82428,                0.94782,                0.99528,                0.99373,                0.85895,                0.62644,                0.41865,                0.82815,             2.3178e-05,             2.3178e-05,             2.3178e-05
                    197,                0.62958,                0.73229,                0.83171,                0.94935,                0.99497,                0.99373,                 0.8539,                0.62714,                0.42633,                0.82873,             1.9877e-05,             1.9877e-05,             1.9877e-05
                    198,                0.66785,                0.74214,                0.83658,                0.95045,                0.99474,                0.99373,                0.85309,                0.62799,                0.42958,                  0.829,             1.6575e-05,             1.6575e-05,             1.6575e-05
                    199,                0.71561,                0.75027,                0.84797,                0.95137,                0.99451,                0.99373,                0.84627,                0.62831,                0.42965,                0.82919,             1.3273e-05,             1.3273e-05,             1.3273e-05
                    200,                0.67248,                0.75408,                0.84584,                0.95233,                0.99424,                0.99373,                0.85757,                0.62818,                0.42963,                0.82937,             9.9717e-06,             9.9717e-06,             9.9717e-06
