                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.90484,                 1.2788,                0.88615,                0.67998,                0.76709,                0.77342,                0.56966,                0.84299,                 1.1367,                0.87109,             0.00055474,             0.00055474,             0.00055474
                     36,                0.95321,                 1.3436,                0.91377,                0.68586,                0.69022,                0.79931,                0.60581,                0.81571,                 1.0775,                0.87054,             0.00055144,             0.00055144,             0.00055144
                     37,                0.85671,                 1.3499,                 0.8918,                0.66414,                0.73912,                0.79735,                0.61877,                0.80973,                0.96751,                0.87034,             0.00054814,             0.00054814,             0.00054814
                     38,                0.90344,                 1.3709,                0.90864,                0.62837,                0.84019,                0.79673,                0.61858,                0.82689,                0.92973,                0.87068,             0.00054484,             0.00054484,             0.00054484
                     39,                0.89183,                 1.2376,                0.87868,                0.76864,                0.76439,                0.85171,                0.62964,                0.83991,                0.94813,                0.87033,             0.00054154,             0.00054154,             0.00054154
                     40,                0.88085,                 1.2285,                 0.8628,                0.71697,                0.75724,                0.84996,                0.64148,                 0.8205,                0.99746,                0.86325,             0.00053824,             0.00053824,             0.00053824
                     41,                0.89602,                 1.3489,                0.85153,                0.63674,                0.81474,                0.84723,                 0.6334,                0.80505,                 1.0062,                0.86235,             0.00053493,             0.00053493,             0.00053493
                     42,                0.87897,                 1.1769,                0.88755,                0.75541,                 0.8123,                0.88381,                0.64989,                 0.8189,                0.88948,                0.86912,             0.00053163,             0.00053163,             0.00053163
                     43,                0.90381,                 1.2604,                0.89975,                0.77605,                 0.8157,                0.88872,                0.66361,                 0.8199,                0.82686,                0.86998,             0.00052833,             0.00052833,             0.00052833
                     44,                0.89722,                 1.2451,                0.89263,                0.71447,                0.83456,                0.89163,                0.68306,                  0.802,                0.86757,                0.86279,             0.00052503,             0.00052503,             0.00052503
                     45,                 0.8855,                 1.2457,                0.86528,                0.71607,                0.81054,                 0.9046,                0.69358,                0.80064,                  1.009,                0.85762,             0.00052173,             0.00052173,             0.00052173
                     46,                0.85662,                 1.1535,                0.85851,                0.72775,                0.78312,                0.88525,                0.67594,                0.80556,                0.97919,                0.85803,             0.00051843,             0.00051843,             0.00051843
                     47,                0.92271,                 1.3287,                0.89058,                0.73608,                0.76555,                0.86472,                0.64888,                0.81213,                0.89198,                0.86228,             0.00051512,             0.00051512,             0.00051512
                     48,                 0.9089,                   1.19,                0.88238,                0.77872,                0.83157,                0.90583,                0.66647,                0.81327,                0.78705,                0.86656,             0.00051182,             0.00051182,             0.00051182
                     49,                0.84441,                 1.0761,                0.86058,                0.80461,                0.84773,                0.90274,                0.68179,                0.80168,                0.71754,                0.86621,             0.00050852,             0.00050852,             0.00050852
                     50,                0.91005,                 1.1916,                0.87831,                0.84446,                   0.79,                0.88831,                0.68776,                0.79224,                0.74898,                0.85984,             0.00050522,             0.00050522,             0.00050522
                     51,                0.96202,                 1.1831,                0.87026,                0.77874,                0.80454,                0.85052,                0.67585,                0.78433,                0.85369,                0.85479,             0.00050192,             0.00050192,             0.00050192
                     52,                0.89467,                 1.1935,                0.86639,                0.80484,                0.70933,                0.88054,                0.70743,                0.76868,                  0.824,                0.85245,             0.00049862,             0.00049862,             0.00049862
                     53,                0.88904,                 1.1433,                0.85327,                0.72984,                0.80983,                0.90077,                0.72253,                0.77001,                0.74286,                0.85129,             0.00049531,             0.00049531,             0.00049531
                     54,                0.84453,                 1.0898,                0.88684,                0.64974,                0.96263,                0.91074,                0.72523,                0.76847,                0.70338,                0.85071,             0.00049201,             0.00049201,             0.00049201
                     55,                0.90048,                 1.1386,                0.87463,                0.85776,                 0.7868,                0.93122,                 0.7462,                0.78095,                0.66344,                0.85318,             0.00048871,             0.00048871,             0.00048871
                     56,                0.88773,                 1.2078,                0.85474,                 0.8862,                 0.7695,                0.92866,                0.73202,                0.80636,                0.69533,                0.85839,             0.00048541,             0.00048541,             0.00048541
                     57,                0.89741,                 1.0777,                0.90476,                0.85577,                0.79326,                0.92655,                0.74306,                0.79868,                0.73985,                0.85837,             0.00048211,             0.00048211,             0.00048211
                     58,                0.88256,                 1.1985,                0.88206,                0.85446,                0.78402,                 0.9247,                0.73628,                0.79842,                0.71179,                0.85835,             0.00047881,             0.00047881,             0.00047881
                     59,                0.89898,                 1.5419,                0.86347,                0.63175,                0.91263,                0.90441,                 0.7258,                0.80725,                0.66866,                0.86273,              0.0004755,              0.0004755,              0.0004755
                     60,                0.89621,                 1.1788,                0.86976,                0.69175,                0.94159,                0.90766,                  0.734,                0.79466,                0.65427,                0.86128,              0.0004722,              0.0004722,              0.0004722
                     61,                 0.8686,                 1.1383,                0.85107,                0.70386,                0.92218,                0.90294,                0.72804,                0.77454,                0.65168,                0.85567,              0.0004689,              0.0004689,              0.0004689
